ts;humidity;light;motion;temperature;vdd
1591896019360;67;1;0;21.6;3568
1591896319328;67;1;0;21.6;3566
1591896619315;67;1;0;21.6;3568
1591896919299;67;1;0;21.6;3566
1591897219267;67;1;0;21.6;3566
1591897519265;67;1;0;21.6;3566
1591897819261;67;1;0;21.6;3566
1591898119278;67;1;0;21.6;3568
1591898419240;67;1;0;21.6;3568
1591899019196;67;1;0;21.5;3566
1591899919150;67;1;0;21.5;3566
1591900219172;67;1;0;21.5;3568
1591900819111;67;1;0;21.4;3566
1591901119091;67;1;0;21.5;3566
1591901419084;67;1;0;21.4;3566
1591901719053;67;1;0;21.5;3566
1591902019031;67;1;0;21.5;3566
1591902319013;67;1;0;21.4;3566
1591903218995;67;1;0;21.4;3566
1591903518973;67;1;0;21.4;3568
1591903818960;67;1;0;21.4;3566
1591904118919;67;1;0;21.4;3566
1591904418928;67;1;0;21.4;3566
1591904718895;67;1;0;21.3;3566
1591905018871;67;1;0;21.4;3566
1591905318882;67;1;0;21.4;3566
1591905618870;67;1;0;21.3;3566
1591905918855;67;1;0;21.3;3566
1591906218840;67;1;0;21.3;3568
1591906518828;67;1;0;21.3;3568
1591907118769;67;1;0;21.3;3566
1591907418754;67;1;0;21.3;3566
1591908018740;67;1;0;21.3;3566
1591908618712;67;1;0;21.3;3566
1591908918696;67;1;0;21.3;3566
1591909218668;67;1;0;21.3;3563
1591909518647;67;1;0;21.3;3566
1591909818631;67;0;0;21.3;3566
1591910118614;67;1;0;21.2;3566
1591910718604;67;1;0;21.2;3566
1591911018594;68;0;0;21.3;3566
1591911318577;68;1;0;21.2;3566
1591911618564;68;1;0;21.3;3566
1591911918524;68;1;0;21.2;3566
1591912218512;68;1;0;21.2;3566
1591912818479;68;1;0;21.2;3566
1591913418466;68;1;0;21.2;3566
1591913718464;68;1;0;21.2;3566
1591914018417;68;1;0;21.2;3566
1591914318426;68;1;0;21.2;3566
1591914618385;68;1;0;21.2;3568
1591914918372;68;1;0;21.2;3566
1591915218356;68;1;0;21.2;3566
1591915518350;68;1;0;21.2;3566
1591915818345;68;1;0;21.1;3566
1591916118338;68;1;0;21.2;3566
1591916418327;68;1;0;21.1;3566
1591916718304;68;1;0;21.1;3568
1591917018264;68;1;0;21.2;3568
1591917318240;68;1;0;21.2;3566
1591917918215;68;1;0;21.1;3566
1591918218217;69;1;0;21.1;3566
1591918818192;69;1;0;21.1;3566
1591919118173;69;1;0;21.1;3566
1591919418142;69;1;0;21.1;3566
1591919718123;69;1;0;21.1;3566
1591920018096;69;1;0;21.1;3566
1591920318091;69;1;0;21.1;3566
1591921518058;69;1;0;21.1;3566
1591921818032;69;1;0;21.1;3566
1591922118003;69;1;0;21.1;3566
1591922717971;69;1;0;21.1;3566
1591923017960;69;1;0;21.1;3568
1591923317964;69;1;0;21.1;3566
1591923617942;69;1;0;21.1;3566
1591923917931;69;1;0;21;3566
1591924217922;69;2;0;21.1;3566
1591924517881;68;2;0;21.1;3566
1591925717829;68;3;0;21.1;3566
1591926017829;68;3;0;21;3566
1591926317809;68;4;0;21;3568
1591926617778;68;5;0;21.1;3566
1591926917796;68;5;0;21;3566
1591927217745;68;5;0;21.1;3566
1591927817711;68;7;0;21.1;3566
1591928717686;68;9;0;21.1;3566
1591929317651;68;11;0;21.1;3566
1591929617621;68;11;0;21;3566
1591929917593;69;12;0;21;3566
1591930217588;69;12;0;21.1;3568
1591930517562;69;13;0;21.1;3566
1591930817571;69;14;0;21.1;3566
1591931117562;69;15;0;21.1;3566
1591931417548;69;16;0;21.1;3566
1591931717529;69;16;0;21.1;3568
1591932017524;69;16;0;21;3566
1591932317480;69;17;0;21.1;3566
1591932617470;69;18;0;21.1;3566
1591932917451;69;18;0;21.1;3566
1591933517437;69;19;0;21.2;3566
1591933817416;69;21;0;21.1;3566
1591934117409;69;20;0;21.1;3568
1591934417374;69;21;0;21.1;3566
1591935017346;68;21;0;21.1;3566
1591935617323;68;23;0;21.1;3566
1591935917305;68;23;0;21.2;3568
1591936817266;68;24;0;21.2;3568
1591937117223;68;24;0;21.2;3566
1591937417225;68;25;0;21.2;3566
1591937717211;68;25;0;21.2;3566
1591938317179;68;25;0;21.2;3566
1591938617179;68;26;0;21.3;3566
1591938917157;68;26;0;21.2;3566
1591939217146;68;27;0;21.3;3566
1591940117085;68;29;0;21.3;3566
1591940417069;68;29;0;21.3;3566
1591940717056;68;30;0;21.3;3566
1591941017053;68;29;0;21.3;3566
1591941617011;68;31;0;21.3;3566
1591941917011;68;31;0;21.3;3568
1591942216978;68;32;0;21.3;3568
1591942516957;68;33;0;21.4;3568
1591942816940;68;33;0;21.3;3568
1591943416917;68;36;0;21.4;3568
1591944316877;68;37;0;21.4;3568
1591944916810;68;39;0;21.4;3568
1591945216811;68;41;0;21.4;3566
1591945516815;68;46;0;21.4;3566
1591945816791;68;57;0;21.4;3568
1591946116790;68;58;0;21.5;3566
1591946416775;68;56;0;21.5;3568
1591946716761;68;8;0;21.5;3568
1591947016745;68;7;0;21.5;3568
1591947316708;68;18;0;21.5;3571
1591947616677;68;26;0;21.5;3568
1591947916667;68;71;0;21.5;3566
1591948216705;68;40;0;21.5;3568
1591948816657;68;59;0;21.5;3566
1591949116645;68;75;0;21.6;3568
1591949416629;68;77;0;21.6;3566
1591949716615;68;57;0;21.6;3566
1591950016612;68;65;0;21.6;3568
1591950316564;68;50;0;21.6;3566
1591950616542;68;60;0;21.5;3568
1591950916527;68;49;0;21.6;3568
1591951216539;68;65;0;21.6;3568
1591951516515;68;54;0;21.6;3568
1591951816492;68;66;0;21.6;3568
1591952116484;68;44;0;21.6;3571
1591952416472;68;64;0;21.6;3568
1591952716440;68;56;0;21.6;3571
1591953016424;68;59;0;21.6;3568
1591953316405;68;61;0;21.6;3568
1591953616401;68;60;0;21.7;3568
1591953916393;68;61;0;21.6;3571
1591954516385;68;51;0;21.6;3568
1591954816360;68;51;0;21.7;3568
1591955116311;68;51;0;21.7;3568
1591955416298;68;49;0;21.6;3571
1591955716283;68;48;0;21.6;3568
1591956016271;68;45;0;21.7;3568
1591956316265;68;43;0;21.7;3568
1591956616253;68;41;0;21.7;3568
1591956916230;68;41;0;21.6;3571
1591957216224;68;39;0;21.6;3566
1591957516188;68;38;0;21.7;3571
1591958416137;68;39;0;21.7;3568
1591959016140;68;41;0;21.7;3568
1591959316122;68;38;0;21.7;3571
1591959616100;68;37;0;21.7;3571
1591959916088;68;36;0;21.7;3571
1591960216050;68;37;0;21.7;3571
1591960816023;68;35;0;21.7;3571
1591961116017;68;36;0;21.7;3568
1591961715997;68;36;0;21.7;3568
1591962015997;68;36;0;21.7;3571
1591962315963;68;36;0;21.7;3566
1591963215898;68;35;0;21.7;3568
1591963515885;68;40;0;21.8;3568
1591963815895;68;39;0;21.7;3568
1591964715846;68;46;0;21.7;3566
1591965015810;68;46;0;21.8;3571
1591965315784;68;45;0;21.8;3568
1591965615783;68;46;0;21.8;3568
1591965915760;67;48;0;21.7;3571
1591966515755;67;61;0;21.8;3571
1591966815735;67;72;0;21.8;3568
1591967115723;67;74;0;21.8;3568
1591967415707;67;64;0;21.8;3571
1591967715663;67;51;0;21.9;3571
1591968615627;67;53;0;21.9;3568
1591968915627;67;55;0;21.9;3568
1591969215613;67;60;0;21.8;3571
1591969515595;67;76;0;21.9;3571
1591969815566;67;104;0;21.9;3571
1591970415536;67;56;0;21.9;3571
1591970715506;67;29;0;21.9;3571
1591971315492;67;24;0;21.9;3571
1591971615485;67;23;0;21.9;3571
1591971915479;67;32;0;21.9;3568
1591972215460;67;42;0;21.9;3568
1591972515443;67;23;0;21.9;3568
1591972815408;67;26;0;21.9;3571
1591973715362;67;21;0;21.9;3568
1591974315349;67;16;0;21.8;3571
1591974615346;67;15;0;21.8;3568
1591975215284;67;8;0;21.8;3568
1591975815262;67;5;0;21.8;3568
1591976115249;67;3;0;21.8;3571
1591976715226;68;4;0;21.8;3568
1591977015222;68;5;0;21.8;3571
1591977615158;68;5;0;21.7;3571
1591978515096;68;2;0;21.7;3571
1591979115102;68;2;0;21.7;3568
1591979415091;68;3;0;21.7;3571
1591980015067;68;2;0;21.7;3568
1591980915001;68;1;0;21.6;3568
1591981214980;68;1;0;21.7;3568
1591981514974;68;1;0;21.6;3568
1591982114946;68;1;0;21.6;3571
1591982414943;68;1;0;21.6;3571
1591982714909;68;1;0;21.6;3571
1591983614856;67;1;0;21.6;3571
1591983914840;67;1;0;21.5;3568
1591984214852;67;1;0;21.5;3571
1591984814802;67;1;0;21.5;3568
1591985714755;67;1;0;21.5;3571
1591986014733;67;1;0;21.5;3571
1591986314721;67;1;0;21.5;3571
1591986914709;66;1;0;21.5;3568
1591988114631;66;1;0;21.5;3571
1591988414609;66;1;0;21.5;3566
1591988714598;66;1;0;21.5;3571
1591989314591;66;1;0;21.4;3568
1591989614576;66;1;0;21.4;3568
1591989914567;66;1;0;21.4;3571
1591990514499;66;1;0;21.4;3566
1591991114473;66;1;0;21.4;3568
1591991414461;67;1;0;21.4;3568
1591992014451;66;1;0;21.4;3568
1591992314450;66;1;0;21.3;3568
